,-0.066,-0.848,0.574
4231,-0.188,-0.957,0.641
4232,-0.195,-0.965,0.621
4233,-0.191,-0.941,0.602
4234,-0.172,-0.902,0.59
4235,-0.148,-0.879,0.582
4236,-0.125,-0.867,0.574
4237,-0.102,-0.859,0.559
4238,-0.09,-0.855,0.566
4239,-0.078,-0.848,0.57
4240,-0.082,-0.824,0.582
4241,-0.086,-0.801,0.598
4242,-0.09,-0.785,0.609
4243,-0.094,-0.777,0.613
4244,-0.086,-0.77,0.613
4245,-0.086,-0.754,0.613
4246,-0.094,-0.754,0.613
4247,-0.098,-0.758,0.613
4248,-0.098,-0.762,0.617
4249,-0.102,-0.762,0.621
4250,-0.102,-0.773,0.629
4251,-0.098,-0.785,0.637
4252,-0.098,-0.789,0.645
4253,-0.094,-0.789,0.648
4254,-0.098,-0.793,0.648
4255,-0.102,-0.801,0.648
4256,-0.105,-0.813,0.652
4257,-0.109,-0.82,0.66
4258,-0.113,-0.824,0.668
4259,-0.094,-0.836,0.68
4260,-0.082,-0.844,0.676
4261,-0.074,-0.844,0.66
4262,-0.063,-0.844,0.656
4263,-0.063,-0.84,0.652
4264,-0.066,-0.836,0.648
4265,-0.07,-0.832,0.641
4266,-0.074,-0.828,0.633
4267,-0.07,-0.828,0.629
4268,-0.07,-0.824,0.621
4269,-0.07,-0.82,0.613
4270,-0.07,-0.824,0.609
4271,-0.07,-0.828,0.598
4272,-0.066,-0.828,0.594
4273,-0.059,-0.82,0.59
4274,-0.063,-0.816,0.59
4275,-0.059,-0.82,0.59
4276,-0.059,-0.828,0.586
4277,-0.066,-0.836,0.586
4278,-0.07,-0.836,0.59
4279,-0.074,-0.84,0.59
4280,-0.078,-0.84,0.586
4281,-0.074,-0.836,0.578
4282,-0.074,-0.84,0.574
4283,-0.074,-0.844,0.574
4284,-0.074,-0.852,0.574
4285,-0.074,-0.859,0.574
4286,-0.078,-0.863,0.574
4287,-0.074,-0.859,0.57
4288,-0.074,-0.852,0.57
4289,-0.086,-0.844,0.57
4290,-0.094,-0.828,0.563
